Logical Clock; Device Time; Event Code; Signal; Info; Segment Id; Event Code Id; Device Id; Signal Id;
117458; 2019-10-24 11:20:35; Information; ; FeedbackIdentifier=pump1,Host=127.0.0.1,Port=41000; 18446744073709551615; 13; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117493; 2019-10-24 11:25:35; Level; Interstitial glucose; 5.50128; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117503; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117495; 2019-10-24 11:25:35; Level; IOB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117505; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117498; 2019-10-24 11:25:35; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117508; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117542; 2019-10-24 11:25:35; Level; Basal Insulin rate; 0; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117497; 2019-10-24 11:25:35; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117510; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117494; 2019-10-24 11:25:35; Level; Basal Insulin intake; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117513; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117496; 2019-10-24 11:25:35; Level; Insulin activity; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117515; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117531; 2019-10-24 11:30:34; Level; Blood glucose; 5.53672; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117539; 2019-10-24 11:30:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117540; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117532; 2019-10-24 11:30:34; Level; Interstitial glucose; 5.60005; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117541; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117534; 2019-10-24 11:30:34; Level; IOB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117559; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117537; 2019-10-24 11:30:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117560; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117582; 2019-10-24 11:30:34; Level; Basal Insulin rate; 0; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117536; 2019-10-24 11:30:34; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117561; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117533; 2019-10-24 11:30:34; Level; Basal Insulin intake; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117562; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117535; 2019-10-24 11:30:34; Level; Insulin activity; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117563; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117569; 2019-10-24 11:35:34; Level; Blood glucose; 5.60784; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117576; 2019-10-24 11:35:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117577; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117570; 2019-10-24 11:35:34; Level; Interstitial glucose; 5.68103; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117579; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117572; 2019-10-24 11:35:34; Level; IOB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117581; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117575; 2019-10-24 11:35:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117593; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117621; 2019-10-24 11:35:34; Level; Basal Insulin rate; 0.62999; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117574; 2019-10-24 11:35:34; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117595; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117571; 2019-10-24 11:35:34; Level; Basal Insulin intake; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117596; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117573; 2019-10-24 11:35:34; Level; Insulin activity; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117602; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117608; 2019-10-24 11:40:34; Level; Blood glucose; 5.71466; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117617; 2019-10-24 11:40:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117618; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117609; 2019-10-24 11:40:34; Level; Interstitial glucose; 5.77832; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117619; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117611; 2019-10-24 11:40:34; Level; IOB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117620; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117645; 2019-10-24 11:40:34; Level; Basal Insulin rate; 0.62999; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117613; 2019-10-24 11:40:34; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117626; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117614; 2019-10-24 11:40:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117627; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117610; 2019-10-24 11:40:34; Level; Basal Insulin intake; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117632; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117612; 2019-10-24 11:40:34; Level; Insulin activity; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117633; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117656; 2019-10-24 11:45:34; Level; Blood glucose; 5.84863; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117664; 2019-10-24 11:45:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117666; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117657; 2019-10-24 11:45:34; Level; Interstitial glucose; 5.89867; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117667; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117659; 2019-10-24 11:45:34; Level; IOB; 0.0479397; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117670; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117662; 2019-10-24 11:45:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117672; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117699; 2019-10-24 11:45:34; Level; Basal Insulin rate; 0.979996; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117661; 2019-10-24 11:45:34; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117673; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117658; 2019-10-24 11:45:34; Level; Basal Insulin intake; 0.0524991; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117676; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117660; 2019-10-24 11:45:34; Level; Insulin activity; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117679; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117686; 2019-10-24 11:50:34; Level; Blood glucose; 6.00353; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117693; 2019-10-24 11:50:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117694; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117687; 2019-10-24 11:50:34; Level; Interstitial glucose; 6.04076; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117696; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117689; 2019-10-24 11:50:34; Level; IOB; 0.0921689; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117698; 2019-10-24 11:20:35; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117692; 2019-10-24 11:50:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117704; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117737; 2019-10-24 11:50:34; Level; Basal Insulin rate; 1.435; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117691; 2019-10-24 11:50:34; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117705; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117688; 2019-10-24 11:50:34; Level; Basal Insulin intake; 0.0524991; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117710; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117690; 2019-10-24 11:50:34; Level; Insulin activity; 0.00502294; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117711; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117727; 2019-10-24 11:55:34; Level; Blood glucose; 6.17434; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117734; 2019-10-24 11:55:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117735; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117728; 2019-10-24 11:55:34; Level; Interstitial glucose; 6.20089; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117736; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117729; 2019-10-24 11:55:34; Level; Basal Insulin intake; 0.0816663; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117747; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117731; 2019-10-24 11:55:34; Level; Insulin activity; 0.0102062; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117748; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117733; 2019-10-24 11:55:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117749; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117730; 2019-10-24 11:55:34; Level; IOB; 0.155957; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117757; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117783; 2019-10-24 11:55:34; Level; Basal Insulin rate; 1.92499; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117732; 2019-10-24 11:55:34; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117758; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117770; 2019-10-24 12:00:34; Level; Blood glucose; 6.35406; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117779; 2019-10-24 12:00:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117780; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117771; 2019-10-24 12:00:34; Level; Interstitial glucose; 6.37318; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117781; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117772; 2019-10-24 12:00:34; Level; Basal Insulin intake; 0.119583; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {bf88a8cb-1290-4477-a2cf-bdd06df628ab}
117782; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117775; 2019-10-24 12:00:34; Level; Insulin activity; 0.0174536; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {dd057b62-cbd9-45e2-b102-de941049a55a}
117791; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117777; 2019-10-24 12:00:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117794; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117774; 2019-10-24 12:00:34; Level; IOB; 0.245633; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117796; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117822; 2019-10-24 12:00:34; Level; Basal Insulin rate; 2.17; 0; 2; {00000000-0000-0000-0000-000000000000}; {b5897bbd-1e32-408a-a0d5-c5bfecf447d9}
117776; 2019-10-24 12:00:34; Level; COB; 0; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {b74aa581-538c-4b30-b764-5bd0d97b0727}
117797; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117808; 2019-10-24 12:05:34; Level; Blood glucose; 6.53675; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {f666f6c2-d7c0-43e8-8ee1-c8caa8f860e5}
117818; 2019-10-24 12:05:34; Level; Constant model - Constant blood; 5.5; 0; 2; {14a25f4c-e1b1-85c4-1274-9a0d11e09813}; {203f7b77-0839-4382-90b1-3392a1df5c16}
117819; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117809; 2019-10-24 12:05:34; Level; Interstitial glucose; 6.55182; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {3034568d-f498-455b-ac6a-bcf301f69c9e}
117820; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117811; 2019-10-24 12:05:34; Level; IOB; 0.360408; 0; 2; {10659c91-1ffb-403c-bdf6-35b256b30801}; {313a1c11-6bac-46e2-8938-7353409f2fcd}
117821; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
117814; 2019-10-24 12:05:34; Information; ; Bergman_Feedback_Request; 0; 13; {10659c91-1ffb-403c-bdf6-35b256b30801}; {00000000-0000-0000-0000-000000000000}
117831; 2019-10-24 11:20:37; Synchronization; ; pump1; 18446744073709551615; 12; {00000000-0000-0000-0000-000000000000}; {00000000-0000-0000-0000-000000000000}
